source_io_code,source_io_name,target_io_code,target_io_name,value
0112,맥류 및 잡곡,1122,기타 섬유직물,5.609066803927934e-05
0112,맥류 및 잡곡,1123,편조원단,8.621793067270705e-05
0112,맥류 및 잡곡,1130,섬유표백 및 염색 임가공,2.563642786978903e-05
0112,맥류 및 잡곡,1141,직물제품,5.496898925642745e-05
0112,맥류 및 잡곡,1142,부직포 및 펠트,2.695624427465306e-05
0112,맥류 및 잡곡,1149,기타 섬유제품,3.994797234468343e-05
0112,맥류 및 잡곡,1151,봉제의류,5.166455408374901e-05
0112,맥류 및 잡곡,1152,편조의류,2.234211522591642e-05
0112,맥류 및 잡곡,1153,가죽의류,7.190488864761098e-05
0112,맥류 및 잡곡,1154,모피의류 및 모피제품,0.0001223186753553821
0112,맥류 및 잡곡,1155,의복 관련 장신품,4.62755795653636e-05
0112,맥류 및 잡곡,1201,가죽,6.277057243590742e-05
0112,맥류 및 잡곡,1202,모피,7.304592130518644e-05
0112,맥류 및 잡곡,1203,가방 및 핸드백,5.236929445711081e-05
0112,맥류 및 잡곡,1204,신발,3.922364239457642e-05
0112,맥류 및 잡곡,1209,기타 가죽제품,5.813720890313714e-05
0112,맥류 및 잡곡,1311,제재목,4.999360256163777e-05
0112,맥류 및 잡곡,1312,합판,7.097342748170592e-05
0112,맥류 및 잡곡,1313,강화 및 재생목재,3.626904504739346e-05
0112,맥류 및 잡곡,1321,건축용 목제품,4.904932265151553e-05
0112,맥류 및 잡곡,1322,목재용기 및 적재판,3.591334077663091e-05
0112,맥류 및 잡곡,1329,기타 목제품,6.316574137718291e-05
0112,맥류 및 잡곡,1410,펄프,4.274406939500443e-05
0112,맥류 및 잡곡,1421,인쇄용지,1.875854959221717e-05
0112,맥류 및 잡곡,1429,기타 원지 및 판지,3.405779840666758e-05
0112,맥류 및 잡곡,1431,골판지 및 골판지가공품,4.097092965943997e-05
0112,맥류 및 잡곡,1432,종이용기,6.53533139320723e-05
0112,맥류 및 잡곡,1433,종이문구 및 사무용지,7.783140133778474e-05
0112,맥류 및 잡곡,1434,위생용 종이제품,2.737822746260664e-05
0112,맥류 및 잡곡,1439,기타 종이제품,4.674750497551905e-05
0112,맥류 및 잡곡,1500,인쇄 및 기록매체 복제,2.903960855083033e-05
0112,맥류 및 잡곡,1610,석탄제품,6.516109543851189e-05
0112,맥류 및 잡곡,1621,나프타,5.90884995593718e-06
0112,맥류 및 잡곡,1622,휘발유,4.009584679232079e-06
0112,맥류 및 잡곡,1623,제트유,9.930457261497929e-06
0112,맥류 및 잡곡,1624,등유,1.517489852423212e-05
0112,맥류 및 잡곡,1625,경유,6.68884614206426e-06
0112,맥류 및 잡곡,1626,중유,2.198200985770381e-05
0112,맥류 및 잡곡,1627,액화석유가스,9.935426313602942e-06
